    TIME,    CASE,    FLAP,     AOA,   AOAHT, AOAGUST,    BETA,   THETA,     PHI,     ALT,     EAS,    MACH,   P_CMD,   R_CMD,   Y_CMD,     ELE,     AIL,     RUD,    ETAB,    FZWB,    FZHT,    FYVT,      NX,      NY,      NZ,       Q,      QP,       P,      PP,       R,      RP,       U,       V,       W
   12.36,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.37,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.38,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.39,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.40,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.41,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.42,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.43,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.44,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.45,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.46,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.47,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.48,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.49,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.50,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.51,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.52,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.53,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.54,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.55,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.56,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.57,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.58,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.59,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.60,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.61,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.62,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.63,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.64,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.65,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.66,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.67,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.68,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.69,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.70,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.71,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.72,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.73,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.74,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.75,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.76,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.77,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.78,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.79,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.80,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.81,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.82,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.83,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.84,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.85,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.86,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.87,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.88,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.89,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.90,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.91,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.92,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.93,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.94,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.95,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.96,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.97,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.98,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   12.99,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   13.00,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   13.01,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   13.02,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   13.03,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   13.04,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   13.05,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   13.06,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   13.07,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   13.08,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   13.09,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   13.10,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   13.11,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   13.12,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   13.13,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   13.14,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
   13.15,10000001,    0.00,     NaN,     NaN,   0.000,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  -1.000,   0.000,   0.000, -27.000,   0.000,   0.000,   2.265,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,
